2	一	壹	第7級	it	壹	【替】tsi̍t			1.【數】數字。	2.【形】極、最、第一的。例：一流　it-liû。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　	4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。																						
2179	各位	諸位	第6級	kok-uī			列位、諸位		【名】每位、諸位。																									
2180	名利	名利	第6級	bîng-lī					【名】名譽和利益。																									
2181	同志	同志	第5級	tông-tsì					1.【名】志趣、志向相同的人。[近]有志	2.【名】稱同一個政黨或有共同理想的人。	3.【名】同性戀者的俗稱。																							
2184	列車	列車	第6級	lia̍t-tshia					【名】若干車廂連接成一列的火車。																									
2187	刑事	刑事	第6級	hîng-sū				民事	1.【名】行為觸犯刑法，或依其他法律應該處以刑罰的法律案件。相對於「民事」(bîn-sū)而言。	2.【名】刑事警察的簡稱。																								
2188	合併	合併	第6級	ha̍p-pìng					【動】將分散的東西併起來。例：兩塊桌仔合併。Nn̄g tè toh-á ha̍p-pìng. (兩張桌子合併。)　																									
2189	同事	同僚	第7級	tông-sū					【名】同僚。在同一單位工作或一起從事某件工作的人。																									
2191	印刷	印刷	第6級	ìn-suat					【動】運用照相和分色技巧，把文字、圖畫等原稿製成印版，加上油墨壓印，並可連續印出的技術。依印版的形式可以分為凸版、平版、凹版及網版等四種印刷方式。																									
2192	囝兒	晚輩	第5級	kiánn-jî/kiánn-lî	子兒		序細		【名】 兒子、子女。例：伊的囝兒序細攏誠有孝。I ê kiánn-jî sī-sè lóng tsiânn iú-hàu. (他的子女都很孝順。)　																									
2194	同居	同居	第6級	tông-ki/tông-ku				分居	1.【動】居住一處，共同生活在一起。法律上規定同居是夫妻間應盡的義務。	2.【動】俗指男女沒有經過結婚儀式而生活在一起。																								
2196	因果	因果	第6級	in-kó					1.【名】原因和結果。事情演變的前後關連。	2.【名】佛教語。即因和果。佛教認為一切的生命形態和生活遭遇，都是過去意志、行為的果，而過去意志、行為則是造成果的因。因和果之間是相對的關係。																								
2197	合法	合法	第5級	ha̍p-huat				非法	【形】合於法令規範。																									
2204	危急	危急	第5級	guî-kip					【名】危險急迫。																									
2205	因為	因為	第1*級	in-uī					【連】表示事情的連接。例：因為落雨，我今仔日才無想欲出門。In-uī lo̍h-hōo, guá kin-á-ji̍t tsiah bô siūnn-beh tshut-mn̂g. (因為下雨，所以我今天不想出門。)　																									
2206	合約	合約	第4*級	ha̍p-iok			合同、契約		【名】經雙方同意所簽定的契約。																									
2207	同胞	同胞	第6級	tông-pau					1.【名】同國、同民族的人。	2.【名】同父母所生的兄弟姊妹。																								
2212	同時	同時	第3*級	tông-sî			時		【副】同一個時候。																									
2213	向時	過去	第4級	hiàng-sî			往過、過去		【時】 從前、昔日。例：伊向時咧教冊。I hiàng-sî teh kà-tsheh. (他從前在教書。)　															以前	古早　kóo-tsá, 原早　guân-tsá	古早　kóo-tsá, 往過　íng-kèr	古早　kóo-tsá, 頂回　tíng-huê, 頂擺　tíng-pái	以前　í-tsîng, 古早　kóo-tsá, 往擺　íng-pái, 較早　khah-tsá	以早　í-tsá, 以前　í-tsîng, 古早　kóo-tsá, 向時　hiàng-sî, 往擺　íng-pái, 進前　tsìn-tsîng, 較早　khah-tsá	以早　í-tsá, 以前　í-tsîng, 古早　kóo-tsá, 向時　hiàng-sî, 往擺　íng-pái, 進前　tsìn-tsîng, 較早　khah-tsá	古早　kóo-tsá	較早　khah-tsá, 過去　kè-khù, 古早　kóo-tsá, 頂擺　tíng-pái	古早　kóo-tsá, 進前　tsìn-tsîng	以早　í-tsá, 較早　khah-tsá, 古早　kóo-tsá, 以前　í-tsîng
2214	合格	合格	第6級	ha̍p-keh			及格		【名】符合規定的標準。																									
2215	吐氣	嘆氣	第5級	thóo-khuì	吐喟		吐大氣		【動】嘆氣。例：看伊佇遐吐氣，一定是有心事啦。Khuànn i tī hia thóo-khuì, it-tīng sī ū sim-sū--lah. (看他在那裡嘆氣，一定是有心事！)　																									
2217	合唱	合唱	第7級	ha̍p-tshiùnn				獨唱	【動】許多人齊聲歌唱。例：聽著音樂聲，逐家就綴咧合唱。Thiann-tio̍h im-ga̍k siann, ta̍k-ke tō tuè teh ha̍p-tshiùnn. (聽到音樂聲，大家就跟著合唱。)　																									
2219	同情	同情	第4*級	tông-tsîng					【動】看到別人的遭遇而感到憐憫。例：我毋免你同情。Guá m̄-bián lí tông-tsîng. (我不用你同情。)　																									
2220	名望	聲譽	第6級	bîng-bōng			名聲、聲望、名譽		【名】名譽和聲望。例：陳家佇這个所在真有名望。In tân--ka tī tsit ê sóo-tsāi tsin ū bîng-bōng. (他們陳家在這個地方很有名望。)　																									
2221	向望	期望	第4*級	ǹg-bāng	映望		希望、期待、期望	失望	【動】盼望、希望。例：向望你會當好好仔做人。Ǹg-bāng lí ē-tàng hó-hó-á tsò-lâng. (希望你能好好做人。)　																									
2222	共產	共產	第6級	kiōng-sán					【名】一種財產公有、全體公民大致按照各自需要分享共同財富的政治經濟組織制度。																									
2223	合理	合理	第4*級	ha̍p-lí				無理	【形】符合道理。例：伊賣的物件，價數攏真合理。I bē ê mi̍h-kiānn, kè-siàu lóng tsin ha̍p-lí. (他賣的東西，價錢都很合理。)　																									
2225	吉祥	吉祥	第7級	kiat-siông					【名】吉利祥瑞。例：吉祥如意　kiat-siông jû-ì。																									
2228	在野	在野	第6級	tsāi-iá			落台	在朝、執政	【形】本來指不在朝廷擔任官職，後來借指不作官、不當政。例：在野黨　tsāi-iá tóng。																									
2229	合喙	閉口	第7級	ha̍p-tshuì	合嘴				【名】嘴巴合起來。例：你哪會遐愛錢，開喙合喙攏是錢。Lí ná ē hiah ài tsînn, khui-tshuì ha̍p-tshuì lóng sī tsînn. (你怎麼那麼愛錢，開口閉口都是錢。)　																									
2231	名單	名單	第5級	miâ-tuann					【名】開列姓名的單子。																									
2236	同窗	同學	第1級	tông-tshong			同學		【名】同學。指在同一個班級中或學校裡一起求學的伙伴。例：兩个自小學就是同窗。In nn̄g ê tsū sió-ha̍k tō sī tông-tshong. (他們兩個人從小學就是同學。)　																									
2237	回答	答覆	第6級	huê-tap/hê-tap			回覆、回話		【動】回應、回話。例：伊咧問你，你攏無回答。I teh mn̄g--lí, lí lóng bô huê-tap. (他在問你，你都沒回答。)　																									
2238	印象	印象	第4*級	ìn-siōng					【名】感官受外界事物刺激而留存於記憶中的意象。例：逐家對伊的印象真好。Ta̍k-ke tuì i ê ìn-siōng tsin hó. (大家對他的印象很好。)　																									
2240	同意	贊成	第5級	tông-ì			同感、贊同、贊成	反對	【動】贊成、認可。例：我同意你的看法。Guá tông-ì lí ê khuànn-huat. (我贊成你的看法。)　																									
2243	向腰	彎腰	第6級	ànn-io					【動】彎腰。																									
2248	合算	合算	第6級	ha̍p-sǹg					1.【形】划算。	2.【動】合計。例：遮合算起來是偌濟？Tsia ha̍p-sǹg--khí-lâi sī guā-tsē? (這些合計起來是多少？)　																								
2249	因端	緣故	第5級	in-tuann			緣故、因致、原由、原因		【名】原因、緣故。例：無因端　bô in-tuann(沒有原因)。																									
2250	刑罰	處罰	第5級	hîng-hua̍t					【名】對犯罪者所執行的處罰。例：刣人放火，愛受刑罰。Thâi-lâng pàng-hué, ài siū hîng-hua̍t. (殺人放火要受刑責處罰。)　																									
2252	各馝	詼諧	第7級	kok-pih	各鱉		五仁、笑詼		【形】孤僻、滑稽。形容一個人的性情、脾氣特別古怪、乖戾，或指稱人的個性滑稽、詼諧。例：伊彼个人真各馝，佮阮大姊袂合。I hit ê lâng tsin kok-pih, kah guán tuā-tsí bē-ha̍h. (他那人很孤僻，跟我大姊合不來。)　																									
2254	同齊	結伴	第7級	tâng-tsê			鬥陣、一齊、和齊、相𤆬(sio-tshuā)		【副】同時一起。例：我佮阿姊同齊去踅街。Guá kah a-tsí tâng-tsê khì se̍h-ke. (我和姊姊一起去逛街。)　																									
2255	吐憐涎	胡說八道	第6級	thòo-liân-siân					1.【動】吐苦水。向人傾訴內心的煩惱和不愉快。例：姊妹仔伴攏會互相吐憐涎。Tsí-muē-á-phuānn lóng ē hōo-siong thòo-liân-siân. (姊妹淘都會互相吐苦水。)　	2.【動】胡說八道、信口開河。指人沒有根據，亂說話。例：無證據毋通佇遐吐憐涎。Bô tsìng-kì m̄-thang tī hia thòo-liân-siân. (沒有證據不要在那裡胡說八道。)　																								
2256	各樣	異樣	第7級	koh-iūnn					【形】異樣、異狀。不一樣、不同的狀況。例：你今仔日看起來小可仔各樣，是毋是感冒矣？Lí kin-á-ji̍t khuànn--khí-lâi sió-khuá-á koh-iūnn, sī m̄ sī kám-mōo--ah? (你今天看起來有點異狀，是不是感冒了？)　																									
2258	同學	同學	第1級	tông-ha̍k			同窗		見【同窗】tông-tshong 條。																									
2259	危機	危機	第4*級	guî-ki					1.【名】潛藏的危險、禍害。例：危機四伏　guî-ki sù ho̍k。	2.【名】極度危險的緊要關頭。例：財務危機　tsâi-bū guî-ki。																								
2263	危險	危險	第3級	guî-hiám				安全	【名】不安全。																									
2265	回頭	回頭	第4*級	huê-thâu/hê-thâu					1.【動】回來。例：伊講欲去臺北拍拚，結果煞有去無回頭。I kóng beh khì tâi pak phah-piànn, kiat-kó suah ū khì bô huê-thâu. (他說要到臺北打拚，誰曉得卻有去無回。)　	2.【動】有所覺悟而改過遷善。例：你若有心，這馬回頭猶袂傷慢。Lí nā ū sim, tsit-má huê-thâu iáu bē siunn bān. (你若有心改過，現在回頭還來得及。)　																								
2268	名聲	聲譽	第6級	miâ-siann			名望、聲望、名譽		【名】名譽、名望。例：好名聲　hó miâ-siann。																									
2269	在職	在職	第7級	tsāi-tsit					【動】正在擔任某職務。例：伊猶在職，月底才會離開。I iáu tsāi-tsit, gue̍h-té tsiah-ē lī-khui. (他還在職，月底才會離開。)；在職怨職　tsāi tsit uàn tsit(做什麼職業就埋怨這個職業。即做一行怨一行)。																									
2271	合軀	合身	第7級	ha̍h-su			合身		【形】合身。衣服大小適中。例：這領衫真合軀。Tsit niá sann tsin ha̍h-su. (這件衣服很合身。)　																									
2272	名額	名額	第7級	miâ-gia̍h			人額、限額		【名】限定的人數。																									
2273	在額	定額	第7級	tsāi-gia̍h				編制外的、臨時的	【形】定額。編制內、固定的數額。例：恁彼單位在額的有偌濟？Lín hit tan-uī tsāi-gia̍h--ê ū guā-tsē? (你們單位編制內的有多少？)　																									
2280	多	多	第1級	to					1.【形】指數量龐大，通常用於抽象性事務。例：多謝　to-siā、多情　to-tsîng。	2.【形】多餘的，不必要的。例：多事　to-sū。																								
2281	奸	奸	第6級	kan				忠	1.【形】陰險狡猾的。例：奸巧　kan-khiáu(狡猾)、奸詭　kan-kuí(奸詐)。	2.【名】出賣國家、人民利益的人。例：台奸　tâi-kan。																								
2282	好	賠錢	第7級	【白】hó		【文】hònn		歹	1.【嘆】表示贊成或許可。例：按呢好！Án-ne hó! (這樣好！)　	2.【形】美、善、佳等與「壞」相對的正面形容。例：伊做人真好。I tsò-lâng tsin hó. (他為人很好。)；好命　hó-miā。	3.【副】表示程度上容易、效果佳。例：好做　hó tsò(容易做)、好笑　hó-tshiò、好坐　hó tsē(坐起來舒適)。	4.【名】優點、好處。例：有好無䆀　ū hó bô bái(有好處沒壞處)。	5.【副】表示完成、結束。例：病好去矣。Pēnn hó--khì--ah. (病痊癒了。)；功課寫好矣。Kong-khò siá hó--ah. (功課寫完了。)　[近]了、完	6.【副】表示應該、可以去做某事。例：好來轉矣。Hó lâi tńg--ah. (該回家了。)　										好	hó	hó	hó	hó	hór	hór	hó	hó	hó	hó
2284	如	像	第1*級	jû/lû					1.【動】似、像、若。例：如同　jû-tông。	2.【動】順從、依照。例：如意　jû-ì、如此　jû-tshú。	3.【動】及、比得上。例：不如　put jû。																							
2286	字	字	第1級	jī/lī					1.【名】文字。書寫的符號，用來傳達訊息。例：寫字　siá-jī。	2.【名】字據、證明文件較古的用法。例：借字　tsioh-jī(借據)。														字	lǐ	jī	lī	jī	jī	jī	lī	jī	jī;lī	jī;gī
2287	存	存	第3*級	tsûn		tshûn			1.【動】儲蓄。例：存錢　tsûn tsînn、存款　tsûn-khuán。	2.【動】保留。例：留存　liû-tsûn、保存　pó-tsûn。	3.【動】心裡懷有某種意念。例：存心　tsûn-sim。																							
2291	安	設置	第6級	【文】an		【白】uann			1.【形】完好無事。例：平安　pîng-an。	2.【動】勸慰他人放心。例：安啦！An--lah! (放心啦！)；安慰　an-uì。	3.【動】妥善的處理。例：安搭　an-tah(安置、安撫)。	4.【動】設置、放設。例：安一扇門　an tsi̍t sìnn mn̂g(裝置一扇門)、安神位　an sîn-uī(設置神位)。																						
2292	寺	廟	第5級	sī			廟		【名】供奉神佛的地方。例：龍山寺　Liông-san-sī。																									
2293	尖	利	第5級	tsiam				鈍	1.【形】形容末端細小的樣子。例：尖喙　tsiam-tshuì(尖嘴)。	2.【形】眼睛敏銳。例：伊的目睭真尖。I ê ba̍k-tsiu tsin tsiam. (他的眼睛很敏銳。)　[近]利	3.【形】銳利、刻薄。形容說話聲音高亢而令人不舒服，或是指言語刻薄。例：伊講話誠尖。I kóng-uē tsiânn tsiam. (他說話很尖銳。)　[近]利																							
2294	州	州	第5級	tsiu					1.【名】古代行政區域的名稱。例：漳州　Tsiang-tsiu、泉州　Tsuân-tsiu。	2.【名】水中可居住的沙地。例：沙州　sua-tsiu(沙洲)。																								
2297	年	年	第1級	【文】liân		【白】nî			1.【量】計算時間的單位。地球繞行太陽公轉一圈所需的時間為一年。	2.【名】人生中的某一段時期。例：少年　siàu-liân、中年　tiong-liân。	3.【名】歲數、年齡。例：延年益壽　iân-liân-ik-siū(延長壽命。一種祝人長壽的用詞。)　	4.【名】姓氏。																						
